            Percentages
Red	    Green   Blue	White	Watts Expected
50	    50	    50	    50	    67
75	    75	    75	    75	    100
100	    100	    100	    100	    138
100	    100	    100	    0	    117
100	    100	    0	    100	    118
100	    0	    100	    100	    87
0	    100	    100	    100	    104
136	    88	    110	    55	    138
76	    127	    103	    65	    138
120	    113	    121	    0	    138
130	    88	    126	    50	    138
127	    88	    136	    46	    138
140	    0	    140	    0	    92
140	    0	    0	    140	    104
136	    140	    0	    0	    138
39	    61	    105	    52	    82
